Cost Center;Bruttó;Nettó;Áfa
140100000;24130;19000;5130
480100000; 12577.98; 9903.92; 2674.06
480100000; 4064; 3200; 864
110100000; 4064; 3200; 864
110100000; 4064; 3200; 864
150000000; 4064; 3200; 864
150000000; 4064; 3200; 864
110300000; 14081.4; 11087.72; 2993.68
110400000; 0; 0; 0
140100000; 18248.38; 14368.8; 3879.58
52000000; 4771.39; 3757; 1014.39
510100000; 4064; 3200; 864
140100000; 5797.03; 4564.58; 1232.45
113000000; 9803.03; 7718.92; 2084.11
150000000; 4064; 3200; 864
230900000; 4064; 3200; 864
110400000; 13341.39; 10505.02; 2836.37
110300000; 4682.82; 3687.26; 995.56
420000000; 4064; 3200; 864
113000000; 524.38; 412.9; 111.48
150000000; 4064; 3200; 864
311000000; 36493.85; 28735.31; 7758.54
140100000; 4064; 3200; 864
420000000; 4064; 3200; 864
480100000; 4699; 3700; 999
480100000; 4064; 3200; 864
480750000; 4771.4; 3757; 1014.4
150000000; 18220.26; 14346.66; 3873.6
230000000; 4719.98; 3716.52; 1003.46
110300000; 5743.98; 4522.82; 1221.16
110300000; 4064; 3200; 864
110100000; 8385.97; 6603.12; 1782.85
110100000; 22490.35; 17708.93; 4781.42
480100000; 4064; 3200; 864
480050000; 4064; 3200; 864
110100000; 14347.96; 11297.6; 3050.36
330000000; 12780.43; 10063.33; 2717.1
150000000; 4064; 3200; 864
140100000; 4064; 3200; 864
440000000; 5731.41; 4512.92; 1218.49
480400000; 4064; 3200; 864
110300000; 0; 0; 0
330000000; 11115.88; 8752.66; 2363.22
110100000; 12085.37; 9516.04; 2569.33
510100000; 14311.82; 11269.14; 3042.68
480100000; 4699; 3700; 999
480100000; 4398.96; 3463.75; 935.21
330000000; 44452.23; 35001.75; 9450.48
510100000; 4197.99; 3305.5; 892.49
230000000; 5293.46; 4168.08; 1125.38
230000000; 15559.87; 12251.86; 3308.01
110300000; 10653.92; 8388.91; 2265.01
110100000; 4197.99; 3305.5; 892.49
330000000; 14013.14; 11033.97; 2979.17
480100000; 4064; 3200; 864
