Ügyfélszám;Ügyfél név;Mobilszám;SIM státusz;Tarifacsomag;Tétel;Díj jellege;Év;Hónap;Kiszámlázott idõszak kezdete;darabszám;árazott perc;adatmennyiség (Mbyte);Egységár;Nettó összeg;Bruttó összeg;;Áfa összege;Kedvezménnyel csökkentett Nettó összeg;Kedvezménnyel csökkentett Bruttó összeg;Kedvezménnyel csökkentett Áfa összeg;Áfa kulcsa
138800;Astra Zeneca Kft. ;0;;Üzleti elõfizetés             ;Elektronikus számlaállomány   ;Rendszeres;2019;11;2019.10.26;;;;19000;19000;24130;;5130;19000;24130;5130;27
138800;Astra Zeneca Kft. ;202095904;A;Hipernet Tablet 2             ;Hipernet Tablet 2             ;Rendszeres;2019;11;2019.10.26;;;;2194,92;2194,92;2304,666;;109,746;2194,92;2304,666;109,746;5
138800;Astra Zeneca Kft. ;202095904;A;Hipernet Tablet 2             ;Hiper Tablet 2 aktiváló       ;Forgalmi;2019;11;2019.11.13;18;;1,88;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202173852;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.05;5;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202173852;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.04;19;123,63;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202173852;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.02;61;;5523,53;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202173852;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.10.29;1;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202173852;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.05;4;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202173852;A;Üzleti elõfizetés             ;Mobil Int.60%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-2168,5;0;0;;0;-2168,5;-2276,925;-108,425;5
138800;Astra Zeneca Kft. ;202173852;A;Üzleti elõfizetés             ;Üzleti elõfizetés             ;Rendszeres;2019;11;2019.10.26;;;;2600;2600;3302;;702;2600;3302;702;27
138800;Astra Zeneca Kft. ;202173852;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Rendszeres;2019;11;2019.10.26;;;;3614,17;3614,17;3794,8785;;180,7085;3614,17;3794,8785;180,7085;5
138800;Astra Zeneca Kft. ;202173852;A;Üzleti elõfizetés             ;Havidíj 600 Ft                ;Rendszeres;2019;11;2019.10.26;;;;600;600;762;;162;600;762;162;27
138800;Astra Zeneca Kft. ;202173852;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Forgalmi;2019;11;2019.11.01;158;;2651,19;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202206702;A;Váll. Hipernet Medium         ;Internet 55% havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-2550,78;0;0;;0;-2550,78;-2678,319;-127,539;5
138800;Astra Zeneca Kft. ;202206702;A;Váll. Hipernet Medium         ;Váll. Hipernet Medium         ;Rendszeres;2019;11;2019.10.26;;;;4637,79;4637,79;4869,6795;;231,8895;4637,79;4869,6795;231,8895;5
138800;Astra Zeneca Kft. ;202206702;A;Váll. Hipernet Medium         ;Váll. Hipernet Medium         ;Forgalmi;2019;11;2019.11.01;171;;11344,52;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202206953;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.20;1;3,07;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202206953;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.04;6;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202206953;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.04;17;71,84;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202206953;A;Üzleti elõfizetés             ;Company Policy                ;Forgalmi;2019;11;2019.11.15;2;;4,68;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202206953;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.13;2;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202206953;A;Üzleti elõfizetés             ;SMS                           ;Forgalmi;2019;11;2019.11.02;28;;;;0;0;;0;0;0;0;27
138800;Astra Zeneca Kft. ;202206953;A;Üzleti elõfizetés             ;Mobil Int.60%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-2168,5;0;0;;0;-2168,5;-2276,925;-108,425;5
138800;Astra Zeneca Kft. ;202206953;A;Üzleti elõfizetés             ;Üzleti elõfizetés             ;Rendszeres;2019;11;2019.10.26;;;;2600;2600;3302;;702;2600;3302;702;27
138800;Astra Zeneca Kft. ;202206953;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Rendszeres;2019;11;2019.10.26;;;;3614,17;3614,17;3794,8785;;180,7085;3614,17;3794,8785;180,7085;5
138800;Astra Zeneca Kft. ;202206953;A;Üzleti elõfizetés             ;Havidíj 600 Ft                ;Rendszeres;2019;11;2019.10.26;;;;600;600;762;;162;600;762;162;27
138800;Astra Zeneca Kft. ;202206953;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Forgalmi;2019;11;2019.11.01;196;;1847,29;;0;0;;0;0;0;0;5
138800;Astra Zeneca Kft. ;202216392;A;Üzleti elõfizetés             ;Mobil Int.60%havidíjkedv      ;Rendszeres;2019;11;2019.10.26;;;;-2168,5;0;0;;0;-2168,5;-2276,925;-108,425;5
138800;Astra Zeneca Kft. ;202216392;A;Üzleti elõfizetés             ;Üzleti elõfizetés             ;Rendszeres;2019;11;2019.10.26;;;;2600;2600;3302;;702;2600;3302;702;27
138800;Astra Zeneca Kft. ;202216392;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Rendszeres;2019;11;2019.10.26;;;;3614,17;3614,17;3794,8785;;180,7085;3614,17;3794,8785;180,7085;5
138800;Astra Zeneca Kft. ;202216392;A;Üzleti elõfizetés             ;Havidíj 600 Ft                ;Rendszeres;2019;11;2019.10.26;;;;600;600;762;;162;600;762;162;27
138800;Astra Zeneca Kft. ;202216392;A;Üzleti elõfizetés             ;Váll. Hipernet Active         ;Forgalmi;2019;11;2019.11.10;19;;26,36;;0;0;;0;0;0;0;5
